Price,Close,High,Low,Open,Volume
Ticker,AGGG.L,AGGG.L,AGGG.L,AGGG.L,AGGG.L
Date,,,,,
2017-11-21,4.243626117706299,4.243626117706299,4.243626117706299,4.243626117706299,0
2017-11-22,4.261503219604492,4.261503219604492,4.261503219604492,4.261503219604492,0
2017-11-23,4.27292537689209,4.27292537689209,4.27292537689209,4.27292537689209,0
2017-11-24,4.276111125946045,4.312205427817069,4.26974180530038,4.290973414075236,108010
2017-11-27,4.287788391113281,4.287788391113281,4.287788391113281,4.287788391113281,0
2017-11-28,4.279295921325684,4.2803573397106875,4.2803573397106875,4.2803573397106875,10000
2017-11-29,4.266556739807129,4.2718650469675685,4.261248837613668,4.2718650469675685,60002
2017-11-30,4.267617225646973,4.271863708057578,4.271863708057578,4.271863708057578,61994
2017-12-01,4.285665035247803,4.2803571336444115,4.2633716055334,4.2718645720723725,12000
2017-12-04,4.266556739807129,4.254879516968307,4.254879516968307,4.254879516968307,4000
2017-12-05,4.267617225646973,4.267617225646973,4.267617225646973,4.267617225646973,0
2017-12-06,4.270802974700928,4.254879269048375,4.254879269048375,4.254879269048375,0
2017-12-07,4.269741058349609,4.2718642998490495,4.2718642998490495,4.2718642998490495,1000
2017-12-08,4.254879474639893,4.2676185207708635,4.254879474639893,4.2676185207708635,100000
2017-12-11,4.254879474639893,4.254879474639893,4.254879474639893,4.254879474639893,0
2017-12-12,4.248509407043457,4.246386165364742,4.246386165364742,4.246386165364742,2000
2017-12-13,4.248509407043457,4.248509407043457,4.248509407043457,4.248509407043457,0
2017-12-14,4.267617225646973,4.263370743236367,4.263370743236367,4.263370743236367,12000
2017-12-15,4.266556739807129,4.2718650469675685,4.2718650469675685,4.2718650469675685,96040
2017-12-18,4.27292537689209,4.271863958710585,4.271863958710585,4.271863958710585,2000
2017-12-19,4.27292537689209,4.27292537689209,4.27292537689209,4.27292537689209,0
2017-12-20,4.251694679260254,4.252162011179009,4.252162011179009,4.252162011179009,25930
2017-12-21,4.251694679260254,4.254879744720402,4.254879744720402,4.254879744720402,2000
2017-12-22,4.251694679260254,4.251694679260254,4.251694679260254,4.251694679260254,0
2017-12-27,4.251694679260254,4.251694679260254,4.251694679260254,4.251694679260254,0
2017-12-28,4.277171611785889,4.280356271112798,4.273986547492127,4.273986547492127,264883
2017-12-29,4.277171611785889,4.277171611785889,4.277171611785889,4.277171611785889,0
2018-01-02,4.283329010009766,4.288849518504762,4.288849518504762,4.288849518504762,39605
2018-01-03,4.285665035247803,4.286726858548642,4.284603616913898,4.284603616913898,14000
2018-01-04,4.287788391113281,4.282480489368482,4.282480489368482,4.282480489368482,7000
2018-01-05,4.2803568840026855,4.2867266085354165,4.284603367024506,4.2867266085354165,62004
2018-01-08,4.2803568840026855,4.2803568840026855,4.2803568840026855,4.2803568840026855,0
2018-01-09,4.268680095672607,4.278234481862777,4.271865161047324,4.278234481862777,12339
2018-01-10,4.275050163269043,4.269742260509439,4.2676190184121925,4.2676190184121925,6000
2018-01-11,4.275900363922119,4.276963983392938,4.2727103168136065,4.2727103168136065,15973
2018-01-12,4.291851043701172,4.291851043701172,4.279090450706518,4.279090450706518,8000
2018-01-15,4.315246105194092,4.313119271937008,4.3088656054228425,4.3088656054228425,4000
2018-01-16,4.3099284172058105,4.315245702678518,4.313118869619821,4.315245702678518,6000
2018-01-17,4.314182281494141,4.317372328402756,4.313119067741917,4.313119067741917,29641
2018-01-18,4.3056745529174805,4.304610933711329,4.304610933711329,4.304610933711329,1317
2018-01-19,4.304611682891846,4.3131190154142045,4.3088653491530255,4.3088653491530255,10051
2018-01-22,4.3099284172058105,4.310992036561124,4.306738370443728,4.306738370443728,19072
2018-01-23,4.317371845245361,4.325879176918877,4.3152454179788835,4.3152454179788835,20588
2018-01-24,4.334386348724365,4.3365131817633475,4.3258794222203605,4.3258794222203605,15200
2018-01-25,4.350337982177734,4.351401196015089,4.342894268360319,4.345021101687006,116983
2018-01-26,4.342893123626709,4.351400049039157,4.338639458094549,4.351400049039157,74480
2018-01-29,4.319498538970947,4.3343859632679616,4.319498538970947,4.330132703220164,97954
